customer_id|id_nl|date|open|click
A0356882|6934159|29OCT2023|Y|N
A0356882|6934157|10SEP2023|N|N
A0356882|6934161|24MAR2024|N|N
A0356882|6934158|22OCT2023|N|N
A0356882|6934155|25JUN2023|Y|N
A0356882|6934156|13AUG2023|N|N
A0356882|6934160|17MAR2024|N|N
A0356882|6934166|05JAN2025|N|N
A0356882|6934163|12MAY2024|N|N
A0356882|6934162|21APR2024|Y|N
A0356882|6934165|10NOV2024|Y|N
A0356882|6934164|08SEP2024|N|N
A0357266|6928493|18AUG2024|N|N
A0357266|6928495|06OCT2024|Y|Y
A0357266|6928494|08SEP2024|Y|N
A0357266|6928496|20OCT2024|N|N
A0357266|6928492|04AUG2024|N|N
A0357266|6928491|23JUN2024|Y|N
A0357266|6928486|01OCT2023|N|N
A0357266|6928488|05NOV2023|Y|N
A0357266|6928485|30JUL2023|N|N
A0357266|6928487|22OCT2023|Y|N
A0357266|6928490|24MAR2024|Y|Y
A0357266|6928484|07MAY2023|N|N
A0357266|6928489|21JAN2024|Y|N
A0357328|6927737|04FEB2024|Y|Y
A0357328|6927738|11FEB2024|N|N
A0357328|6927736|26NOV2023|N|N
A0357328|6927735|17SEP2023|N|N
A0357328|6927745|22DEC2024|N|N
A0357328|6927748|09FEB2025|N|N
A0357328|6927747|26JAN2025|Y|Y
A0357328|6927744|08DEC2024|N|N
A0357328|6927746|12JAN2025|N|N
A0357328|6927739|07JUL2024|Y|N
A0357328|6927743|17NOV2024|N|N
A0357328|6927741|13OCT2024|Y|N
A0357328|6927740|06OCT2024|N|N
A0357328|6927742|10NOV2024|Y|N
A0357849|6920536|19MAY2024|N|N
A0358076|6917166|22OCT2023|Y|N
A0358076|6917164|20AUG2023|N|N
A0358076|6917169|10DEC2023|N|N
A0358076|6917168|03DEC2023|Y|N
A0358076|6917163|13AUG2023|Y|Y
A0358076|6917160|21MAY2023|Y|N
A0358076|6917171|03MAR2024|N|N
A0358076|6917162|25JUN2023|Y|N
A0358076|6917161|11JUN2023|N|N
A0358076|6917165|10SEP2023|N|N
A0358076|6917170|17DEC2023|Y|N
A0358076|6917167|19NOV2023|Y|Y
A0358076|6917159|30APR2023|Y|N
A0358076|6917158|16APR2023|N|N
A0358076|6917179|16FEB2025|Y|N
A0358076|6917178|12JAN2025|N|N
A0358076|6917173|01SEP2024|Y|Y
A0358076|6917177|17NOV2024|Y|N
A0358076|6917176|13OCT2024|N|N
A0358076|6917175|06OCT2024|N|N
A0358076|6917172|05MAY2024|Y|Y
A0358076|6917174|15SEP2024|Y|Y
A0358100|6916827|19MAY2024|Y|N
A0358100|6916828|22DEC2024|Y|N
A0358100|6916824|03DEC2023|Y|N
A0358100|6916822|25JUN2023|N|N
A0358100|6916826|28JAN2024|N|N
A0358100|6916823|05NOV2023|Y|N
A0358100|6916825|21JAN2024|Y|N
A0359209|6900998|03MAR2024|N|N
A0359209|6900984|02JUL2023|Y|Y
A0359209|6900992|10DEC2023|N|N
A0359209|6900999|10MAR2024|Y|N
A0359209|6900981|04JUN2023|Y|Y
A0359209|6900993|17DEC2023|Y|N
A0359209|6900985|06AUG2023|N|N
A0359209|6900990|01OCT2023|Y|N
A0359209|6900983|25JUN2023|N|N
A0359209|6900989|24SEP2023|N|N
A0359209|6900982|11JUN2023|Y|N
A0359209|6900997|25FEB2024|N|N
A0359209|6900991|19NOV2023|N|N
A0359209|6900994|14JAN2024|N|N
A0359209|6900995|21JAN2024|Y|N
A0359209|6900980|23APR2023|N|N
A0359209|6901000|24MAR2024|Y|N
A0359209|6900987|10SEP2023|N|N
A0359209|6900988|17SEP2023|N|N
A0359209|6900979|16APR2023|N|N
A0359209|6900986|13AUG2023|Y|N
A0359209|6900996|28JAN2024|Y|N
A0359209|6901017|15DEC2024|Y|N
A0359209|6901016|08DEC2024|N|N
A0359209|6901019|23FEB2025|Y|N
A0359209|6901018|22DEC2024|N|N
A0359209|6901007|11AUG2024|N|N
A0359209|6901014|10NOV2024|Y|N
A0359209|6901010|22SEP2024|Y|N
A0359209|6901003|09JUN2024|Y|N
A0359209|6901002|02JUN2024|Y|N
A0359209|6901013|03NOV2024|Y|Y
A0359209|6901011|29SEP2024|N|N
A0359209|6901015|24NOV2024|N|N
A0359209|6901009|01SEP2024|Y|N
A0359209|6901001|05MAY2024|N|N
A0359209|6901004|30JUN2024|Y|N
A0359209|6901006|21JUL2024|N|N
A0359209|6901012|06OCT2024|Y|Y
A0359209|6901005|07JUL2024|N|N
A0359209|6901008|25AUG2024|Y|N
A0359334|6898998|14APR2024|Y|Y
A0359334|6898996|19NOV2023|Y|N
A0359334|6898995|28MAY2023|N|N
A0359334|6898997|03DEC2023|N|N
A0359572|6895054|25AUG2024|Y|Y
A0359572|6895055|27OCT2024|N|N
A0359572|6895052|14JUL2024|N|N
A0359572|6895051|21APR2024|N|N
A0359572|6895053|04AUG2024|Y|N
A0359572|6895056|24NOV2024|N|N
A0359572|6895043|25JUN2023|N|N
A0359572|6895045|10SEP2023|N|N
A0359572|6895048|03DEC2023|N|N
A0359572|6895047|26NOV2023|N|N
A0359572|6895044|09JUL2023|Y|Y
A0359572|6895039|30APR2023|N|N
A0359572|6895050|10MAR2024|Y|Y
A0359572|6895046|05NOV2023|N|N
A0359572|6895042|11JUN2023|Y|Y
A0359572|6895038|09APR2023|N|N
A0359572|6895040|07MAY2023|Y|N
A0359572|6895041|14MAY2023|N|N
A0359572|6895049|31DEC2023|Y|N
A0359572|6895057|15DEC2024|N|N
A0359572|6895058|12JAN2025|Y|Y
A0359572|6895060|16FEB2025|N|N
A0359572|6895059|09FEB2025|N|N
A0360371|6881497|29DEC2024|N|N
A0360371|6881498|05JAN2025|N|N
A0360371|6881500|19JAN2025|N|N
A0360371|6881501|26JAN2025|N|N
A0360371|6881502|16FEB2025|N|N
A0360371|6881499|12JAN2025|N|N
A0360371|6881470|31DEC2023|Y|Y
A0360371|6881462|15OCT2023|Y|N
A0360371|6881458|10SEP2023|Y|Y
A0360371|6881445|05MAR2023|Y|N
A0360371|6881464|29OCT2023|N|N
A0360371|6881466|12NOV2023|Y|N
A0360371|6881450|14MAY2023|Y|Y
A0360371|6881449|07MAY2023|N|N
A0360371|6881453|25JUN2023|Y|Y
A0360371|6881467|26NOV2023|Y|N
A0360371|6881454|02JUL2023|Y|Y
A0360371|6881452|11JUN2023|Y|Y
A0360371|6881473|03MAR2024|N|N
A0360371|6881451|21MAY2023|N|N
A0360371|6881456|13AUG2023|Y|N
A0360371|6881472|25FEB2024|N|N
A0360371|6881465|05NOV2023|Y|N
A0360371|6881446|12MAR2023|Y|N
A0360371|6881457|03SEP2023|Y|N
A0360371|6881461|01OCT2023|N|N
A0360371|6881460|24SEP2023|N|N
A0360371|6881468|03DEC2023|N|N
A0360371|6881447|26MAR2023|Y|Y
A0360371|6881463|22OCT2023|Y|N
A0360371|6881474|17MAR2024|Y|Y
A0360371|6881448|09APR2023|N|N
A0360371|6881471|18FEB2024|Y|Y
A0360371|6881455|23JUL2023|N|N
A0360371|6881459|17SEP2023|Y|N
A0360371|6881475|24MAR2024|Y|Y
A0360371|6881469|17DEC2023|N|N
A0360371|6881476|31MAR2024|Y|N
A0360371|6881481|02JUN2024|Y|N
A0360371|6881483|23JUN2024|Y|Y
A0360371|6881492|06OCT2024|Y|N
A0360371|6881480|12MAY2024|N|N
A0360371|6881491|15SEP2024|Y|N
A0360371|6881482|09JUN2024|N|N
A0360371|6881486|11AUG2024|N|N
A0360371|6881484|21JUL2024|Y|N
A0360371|6881494|17NOV2024|Y|Y
A0360371|6881478|28APR2024|N|N
A0360371|6881487|18AUG2024|Y|Y
A0360371|6881489|01SEP2024|Y|Y
A0360371|6881485|04AUG2024|Y|Y
A0360371|6881479|05MAY2024|Y|Y
A0360371|6881488|25AUG2024|N|N
A0360371|6881477|07APR2024|Y|Y
A0360371|6881490|08SEP2024|N|N
A0360371|6881496|01DEC2024|Y|N
A0360371|6881493|27OCT2024|N|N
A0360371|6881495|24NOV2024|N|N
A0360603|6877694|14APR2024|N|N
A0360603|6877698|15SEP2024|Y|N
A0360603|6877697|14JUL2024|N|N
A0360603|6877696|07JUL2024|N|N
A0360603|6877695|30JUN2024|N|N
A0360603|6877699|22DEC2024|Y|N
A0360718|6875606|05JAN2025|N|N
A0360718|6875601|24MAR2024|N|N
A0360718|6875600|21JAN2024|N|N
A0360718|6875605|01DEC2024|N|N
A0360718|6875604|08SEP2024|Y|Y
A0360718|6875603|26MAY2024|N|N
A0360718|6875602|21APR2024|Y|N
A0361398|6864635|09FEB2025|Y|Y
A0361398|6864634|02FEB2025|Y|N
A0361398|6864626|21JAN2024|N|N
A0361398|6864619|23JUL2023|N|N
A0361398|6864622|08OCT2023|Y|N
A0361398|6864617|02APR2023|Y|N
A0361398|6864618|21MAY2023|N|N
A0361398|6864624|24DEC2023|N|N
A0361398|6864620|06AUG2023|Y|N
A0361398|6864621|03SEP2023|Y|Y
A0361398|6864623|05NOV2023|Y|N
A0361398|6864625|14JAN2024|N|N
A0361398|6864616|12MAR2023|Y|N
A0361398|6864627|11FEB2024|Y|N
A0361398|6864628|03MAR2024|N|N
A0361398|6864630|30JUN2024|Y|N
A0361398|6864632|29SEP2024|Y|N
A0361398|6864631|14JUL2024|N|N
A0361398|6864633|13OCT2024|Y|N
A0361398|6864629|23JUN2024|Y|Y
A0363540|6827598|31MAR2024|N|N
A0363540|6827601|28JUL2024|Y|Y
A0363540|6827602|10NOV2024|Y|N
A0363540|6827599|19MAY2024|Y|Y
A0363540|6827600|09JUN2024|Y|N
A0363540|6827603|17NOV2024|Y|Y
A0363540|6827606|16FEB2025|N|N
A0363540|6827605|05JAN2025|Y|N
A0363540|6827604|29DEC2024|Y|N
A0363540|6827593|14JAN2024|Y|N
A0363540|6827595|25FEB2024|Y|Y
A0363540|6827596|17MAR2024|Y|N
A0363540|6827597|24MAR2024|N|N
A0363540|6827594|11FEB2024|Y|N
A0363752|6823942|04AUG2024|Y|Y
A0363752|6823943|08SEP2024|N|N
A0363752|6823940|07APR2024|N|N
A0363752|6823941|23JUN2024|N|N
A0363752|6823944|05JAN2025|Y|N
A0363752|6823939|17MAR2024|Y|Y
A0363752|6823938|10MAR2024|N|N
A0363752|6823936|08OCT2023|Y|N
A0363752|6823937|25FEB2024|Y|N
A0363811|6822945|29DEC2024|Y|Y
A0363811|6822943|21APR2024|Y|N
A0363811|6822944|07JUL2024|Y|N
A0366871|6798464|08DEC2024|Y|N
A0366871|6798463|27OCT2024|N|N
A0366871|6798462|20OCT2024|N|N
A0372446|6782806|05MAY2024|N|N
A0372446|6782807|18AUG2024|N|N
A0372446|6782799|30APR2023|Y|N
A0372446|6782801|17SEP2023|N|N
A0372446|6782802|08OCT2023|Y|N
A0372446|6782805|25FEB2024|Y|N
A0372446|6782800|10SEP2023|N|N
A0372446|6782798|09APR2023|Y|N
A0372446|6782804|17DEC2023|N|N
A0372446|6782803|05NOV2023|N|N
A0372585|6782482|28JUL2024|Y|N
A0373734|6779009|04FEB2024|Y|Y
A0373734|6779010|12MAY2024|Y|N
A0373734|6779011|09JUN2024|Y|N
A0374512|6777088|12NOV2023|N|N
A0374512|6777090|28JUL2024|Y|Y
A0374512|6777089|21APR2024|N|N
A0374512|6777091|18AUG2024|Y|N
A0374512|6777092|27OCT2024|Y|N
A0374698|6776569|23JUN2024|N|N
A0374698|6776568|09JUL2023|Y|N
A0374698|6776570|08DEC2024|N|N
A0374698|6776571|05JAN2025|Y|N
A0375324|6774613|15DEC2024|Y|N
A0375857|6773008|14MAY2023|N|N
A0375857|6773009|05NOV2023|N|N
A0375857|6773010|28JUL2024|N|N
A0375919|6772842|24NOV2024|Y|N
A0375919|6772841|21JAN2024|N|N
A0376419|6769167|21APR2024|N|N
A0376419|6769174|22SEP2024|Y|N
A0376419|6769166|14APR2024|N|N
A0376419|6769177|17NOV2024|Y|Y
A0376419|6769168|05MAY2024|N|N
A0376419|6769169|02JUN2024|N|N
A0376419|6769171|11AUG2024|Y|N
A0376419|6769176|03NOV2024|Y|N
A0376419|6769175|20OCT2024|N|N
A0376419|6769172|25AUG2024|Y|Y
A0376419|6769173|01SEP2024|Y|Y
A0376419|6769170|09JUN2024|N|N
A0376419|6769163|10DEC2023|N|N
A0376419|6769161|08OCT2023|N|N
A0376419|6769162|19NOV2023|N|N
A0376419|6769159|27AUG2023|Y|N
A0376419|6769157|12MAR2023|Y|N
A0376419|6769165|07JAN2024|N|N
A0376419|6769164|31DEC2023|Y|Y
A0376419|6769160|03SEP2023|Y|N
A0376419|6769158|14MAY2023|Y|Y
A0376419|6769178|15DEC2024|N|N
A0376748|6766886|12JAN2025|Y|Y
A0376748|6766887|09FEB2025|Y|N
A0376748|6766883|24DEC2023|Y|Y
A0376748|6766885|03MAR2024|N|N
A0376748|6766882|15OCT2023|N|N
A0376748|6766884|31DEC2023|Y|N
A0376828|6766270|24MAR2024|N|N
A0376828|6766271|28JUL2024|N|N
A0377883|6757853|21APR2024|N|N
A0377883|6757852|11FEB2024|Y|N
A0378437|6753230|29SEP2024|Y|N
A0378437|6753224|07APR2024|Y|N
A0378437|6753226|09JUN2024|Y|N
A0378437|6753225|05MAY2024|N|N
A0378437|6753228|28JUL2024|Y|N
A0378437|6753231|24NOV2024|N|N
A0378437|6753227|21JUL2024|Y|Y
A0378437|6753229|15SEP2024|Y|N
A0378437|6753214|30JUL2023|N|N
